Local time,Open,High,Low,Close,Volume
29.05.2024 00:00:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 01:00:00.000 GMT+0300,2360.185,2362.105,2357.935,2359.055,402489.99
29.05.2024 02:00:00.000 GMT+0300,2359.055,2360.765,2357.965,2359.685,607699.9903
29.05.2024 03:00:00.000 GMT+0300,2359.495,2360.915,2357.215,2357.715,1000229.9547
29.05.2024 04:00:00.000 GMT+0300,2357.715,2359.355,2355.568,2356.348,2226530.0751
29.05.2024 05:00:00.000 GMT+0300,2356.335,2360.748,2354.288,2355.515,1659129.9772
29.05.2024 06:00:00.000 GMT+0300,2355.515,2359.025,2355.195,2358.045,1108489.9902
29.05.2024 07:00:00.000 GMT+0300,2358.075,2358.925,2356.728,2358.138,487729.9964
29.05.2024 08:00:00.000 GMT+0300,2358.235,2361.275,2356.398,2356.648,1936669.9457
29.05.2024 09:00:00.000 GMT+0300,2356.605,2356.635,2350.975,2355.695,1773689.9853
29.05.2024 10:00:00.000 GMT+0300,2355.695,2356.058,2349.925,2350.425,2070480.1083
29.05.2024 11:00:00.000 GMT+0300,2350.405,2351.715,2344.795,2345.375,2762459.9934
29.05.2024 12:00:00.000 GMT+0300,2345.405,2346.084,2340.758,2345.634,2314260.006
29.05.2024 13:00:00.000 GMT+0300,2345.608,2347.118,2342.975,2346.395,1384930.0146
29.05.2024 14:00:00.000 GMT+0300,2346.345,2346.905,2338.435,2341.585,2279380.0831
29.05.2024 15:00:00.000 GMT+0300,2341.495,2343.638,2334.438,2337.535,2607079.9828
29.05.2024 16:00:00.000 GMT+0300,2337.685,2347.065,2335.768,2345.545,5312950.1343
29.05.2024 17:00:00.000 GMT+0300,2345.555,2346.335,2341.355,2343.365,3360150.0988
29.05.2024 18:00:00.000 GMT+0300,2343.365,2343.615,2336.635,2339.048,2336179.9717
29.05.2024 19:00:00.000 GMT+0300,2339.038,2341.808,2335.895,2341.808,2461040.02
29.05.2024 20:00:00.000 GMT+0300,2341.724,2344.158,2339.235,2343.598,2346050.024
29.05.2024 21:00:00.000 GMT+0300,2343.528,2344.198,2337.938,2338.118,1735430.0022
29.05.2024 22:00:00.000 GMT+0300,2338.095,2339.218,2336.225,2336.648,1317780.0179
29.05.2024 23:00:00.000 GMT+0300,2336.675,2338.575,2335.785,2337.755,797850.0128
30.05.2024 00:00:00.000 GMT+0300,2337.755,2337.755,2337.755,2337.755,0
30.05.2024 01:00:00.000 GMT+0300,2337.098,2339.105,2336.845,2337.495,448689.9972
30.05.2024 02:00:00.000 GMT+0300,2337.508,2338.985,2337.428,2338.285,682590.0078
30.05.2024 03:00:00.000 GMT+0300,2338.235,2338.285,2333.898,2336.748,1333639.9794
30.05.2024 04:00:00.000 GMT+0300,2336.748,2339.758,2333.000,2333.918,2163800.0011
30.05.2024 05:00:00.000 GMT+0300,2333.875,2336.465,2327.885,2330.725,2069149.971
30.05.2024 06:00:00.000 GMT+0300,2330.765,2334.955,2329.005,2334.268,2750750.0648
30.05.2024 07:00:00.000 GMT+0300,2334.255,2337.035,2333.925,2335.175,992479.98
30.05.2024 08:00:00.000 GMT+0300,2335.155,2335.688,2322.458,2324.775,2176440.9542
30.05.2024 09:00:00.000 GMT+0300,2324.855,2332.975,2323.868,2332.735,2984289.8846
30.05.2024 10:00:00.000 GMT+0300,2332.735,2337.588,2332.155,2334.255,2110709.9056
30.05.2024 11:00:00.000 GMT+0300,2334.355,2335.688,2331.785,2334.918,2312720.0603
