Local time,Open,High,Low,Close,Volume
29.05.2024 00:00:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:01:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:02:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:03:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:04:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:05:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:06:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:07:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:08:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:09:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:10:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:11:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:12:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:13:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:14:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:15:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:16:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:17:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:18:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:19:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:20:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:21:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:22:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:23:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
29.05.2024 00:24:00.000 GMT+0300,2361.015,2361.015,2361.015,2361.015,0
